Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14816;987;11;2
Rust(Stadt);102;1980;76;0;0
Eisenstadt-Umgebung;103;43236;2367;25;7
Güssing;104;25699;1828;57;1
Jennersdorf;105;17097;1299;26;0
Mattersburg;106;40042;2291;33;6
Neusiedl am See;107;59990;3259;42;4
Oberpullendorf;108;37384;2225;41;6
Oberwart;109;54192;3644;93;4
Klagenfurt Stadt;201;101300;6241;158;19
Villach Stadt;202;62882;3978;68;9
Hermagor;203;18054;1884;30;1
Klagenfurt Land;204;60014;4183;67;14
Sankt Veit an der Glan;205;54186;3960;99;15
Spittal an der Drau;206;75868;5827;124;25
Villach Land;207;64618;4489;85;17
Völkermarkt;208;41862;3686;62;13
Wolfsberg;209;52607;3479;73;17
Feldkirchen;210;29902;2403;52;1
Krems an der Donau(Stadt);301;25036;1386;31;9
Sankt Pölten(Stadt);302;55514;3886;58;16
Waidhofen an der Ybbs(Stadt);303;11222;900;14;1
Wiener Neustadt(Stadt);304;45823;3893;88;4
Amstetten;305;116520;9997;132;31
Baden;306;146751;9885;130;28
Bruck an der Leitha;307;103735;6086;94;27
Gänserndorf;308;104782;5974;68;57
Gmünd;309;36553;2729;44;8
Hollabrunn;310;51033;2621;52;10
Horn;311;30936;1535;26;1
Korneuburg;312;91254;4341;51;9
Krems(Land);313;56487;3308;41;10
Lilienfeld;314;25655;1680;50;9
Melk;315;78191;5775;102;28
Mistelbach;316;75625;3774;34;26
Mödling;317;119115;6378;117;5
Neunkirchen;318;86343;5960;101;25
Sankt Pölten(Land);319;131729;7943;139;53
Scheibbs;320;41414;3781;43;4
Tulln;321;104593;5407;82;24
Waidhofen an der Thaya;322;25682;1679;14;1
Wiener Neustadt(Land);323;78307;5251;95;13
Zwettl;325;41987;3339;38;6
Linz(Stadt);401;206595;13734;220;51
Steyr(Stadt);402;38056;2465;19;13
Wels(Stadt);403;62470;5638;73;25
Braunau am Inn;404;105553;9161;108;86
Eferding;405;33178;2804;34;7
Freistadt;406;66861;5535;93;10
Gmunden;407;101859;7834;109;14
Grieskirchen;408;64875;5221;71;6
Kirchdorf an der Krems;409;57071;4245;82;3
Linz-Land;410;151371;10163;88;19
Perg;411;68968;5872;73;31
Ried im Innkreis;412;61690;5979;99;34
Rohrbach;413;56545;5109;96;2
Schärding;414;57391;5332;70;10
Steyr-Land;415;60717;4270;69;5
Urfahr-Umgebung;416;86005;6114;73;15
Vöcklabruck;417;137297;11533;161;24
Wels-Land;418;73777;5695;61;18
Salzburg(Stadt);501;155021;11711;141;18
Hallein;502;60824;6686;65;20
Salzburg-Umgebung;503;153492;12342;122;16
Sankt Johann im Pongau;504;81194;9584;115;14
Tamsweg;505;20251;2485;43;0
Zell am See;506;87628;7253;105;8
Graz(Stadt);601;291072;16293;308;85
Deutschlandsberg;603;60867;4057;110;14
Graz-Umgebung;606;156070;8764;252;32
Leibnitz;610;84756;5908;112;8
Leoben;611;59700;3358;110;3
Liezen;612;79652;5448;112;6
Murau;614;27543;1990;30;6
Voitsberg;616;51044;3414;120;19
Weiz;617;90654;6187;145;21
Murtal;620;71698;5105;170;24
Bruck-Mürzzuschlag;621;98697;6090;248;23
Hartberg-Fürstenfeld;622;90606;7384;183;17
Südoststeiermark;623;84036;6026;171;31
Innsbruck-Stadt;701;131961;9751;96;116
Imst;702;60474;5444;39;98
Innsbruck-Land;703;180453;13850;136;95
Kitzbühel;704;64168;4489;43;6
Kufstein;705;110287;9386;138;32
Landeck;706;44386;3686;49;18
Lienz;707;48738;5310;46;5
Reutte;708;32838;2017;6;1
Schwaz;709;84329;9006;131;2
Bludenz;801;64107;4234;46;39
Bregenz;802;134987;9886;105;84
Dornbirn;803;89912;7717;75;47
Feldkirch;804;108133;8299;76;43
Wien;900;1911191;137565;2346;584
