ObjectId,AdmUnitId,BundeslandId,AnzFall,AnzTodesfall,AnzFallNeu,AnzTodesfallNeu,AnzFall7T,AnzGenesen,AnzGenesenNeu,AnzAktiv,AnzAktivNeu,Inz7T
1,11010,11,10461,237,66,0,319,9600,0,700,0,121.3
2,11011,11,11480,246,5,1,337,10700,0,600,0,117.6
3,11012,11,13374,286,28,0,244,12500,0,500,0,94
4,12051,12,2210,80,3,0,44,2000,0,100,0,61
5,12052,12,5758,199,14,0,121,5300,0,200,0,121.4
6,12053,12,2157,104,15,0,56,1900,0,100,0,97
7,12054,12,6762,238,37,0,221,6200,0,400,0,122.6
8,12060,12,5863,218,6,0,154,5400,0,300,0,83.1
9,12061,12,6836,242,3,0,126,6300,0,300,0,73.8
10,12062,12,6891,233,26,0,144,6400,0,200,0,141.4
11,12063,12,5995,176,30,0,128,5400,0,400,0,78.5
12,12064,12,6718,266,8,0,134,6200,0,300,0,68.5
13,12065,12,8056,259,6,0,134,7200,0,600,0,62.9
14,12066,12,7185,264,27,1,134,6500,0,400,0,122.5
15,12067,12,7945,300,18,1,186,7200,0,500,0,104
16,12068,12,4072,151,6,0,44,3800,0,100,0,44.5
17,12069,12,7629,195,7,0,133,7100,0,300,0,61.4
18,12070,12,3158,161,3,1,74,2800,0,200,0,97.2
19,12071,12,7372,187,26,0,142,6400,100,800,0,124.9
20,12072,12,6584,200,20,1,147,5700,0,700,0,86.5
21,12073,12,3739,157,2,0,126,3400,0,200,0,105.9
22,13003,13,2899,35,10,0,127,2600,0,200,0,60.7
23,13004,13,2626,105,9,0,77,2300,0,200,0,80.5
24,13071,13,8258,151,29,0,304,7500,0,600,0,117.8
25,13072,13,4217,115,22,0,148,3800,0,300,0,68.6
26,13073,13,3747,75,12,0,93,3400,0,300,0,41.4
27,13074,13,3715,77,5,1,108,3400,0,200,0,68.6
28,13075,13,9584,250,28,0,269,8800,0,500,0,114.2
29,13076,13,6915,235,33,1,292,6100,0,600,0,137.9
30,14511,14,16272,477,23,3,476,13300,100,2500,-100,193.2
31,14521,14,29930,768,146,0,971,25400,100,3700,0,289.9
32,14522,14,22710,631,69,0,722,18600,100,3500,0,237.4
33,14523,14,18479,757,38,0,305,17100,100,700,0,135
34,14524,14,25661,961,86,0,705,23000,100,1700,0,223.8
35,14612,14,29252,1055,61,0,627,26300,100,1900,0,112.6
36,14625,14,25891,866,90,0,583,23200,0,1900,0,194.5
37,14626,14,19600,1088,80,2,478,16300,0,2200,100,189.1
38,14627,14,16620,583,44,0,412,15000,0,1000,0,170.4
39,14628,14,19555,936,87,0,472,16700,100,2000,0,192.2
40,14713,14,21325,498,59,0,572,18400,100,2400,0,96.4
41,14729,14,14092,319,37,0,419,13000,0,800,0,162.3
42,14730,14,13071,330,31,0,295,11500,0,1300,0,149.2
43,15001,15,3122,113,16,0,82,2700,0,300,0,102.4
44,15002,15,11231,338,48,0,278,10000,0,900,0,116.4
